Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.21243055555555557,0.0,0.6372916666666667,0.0
2,00:00:00.067,0.3007561728395062,0.0,0.9022685185185185,0.0
3,00:00:00.100,0.31145833333333334,0.0,0.934375,0.0
4,00:00:00.133,0.33925154320987655,0.0,1.0177546296296296,0.0
5,00:00:00.167,0.3111651234567901,0.0,0.9334953703703703,0.0
6,00:00:00.200,0.34036265432098767,0.0,1.021087962962963,0.0
7,00:00:00.233,0.3502854938271605,0.0,1.0508564814814816,0.0
8,00:00:00.267,0.3503935185185185,0.0,1.0511805555555556,0.0
9,00:00:00.300,0.34604938271604935,0.0,1.038148148148148,0.0
10,00:00:00.333,0.3759490740740741,0.0,1.1278472222222222,0.0
11,00:00:00.367,0.34425154320987655,0.0,1.0327546296296297,0.0
12,00:00:00.400,0.3617361111111111,0.0,1.0852083333333333,0.0
13,00:00:00.433,0.3135802469135803,0.0,0.9407407407407408,0.0
14,00:00:00.467,0.3583641975308642,0.0,1.0750925925925925,0.0
15,00:00:00.500,0.30496141975308644,0.0,0.9148842592592593,0.0
16,00:00:00.533,0.05449845679012346,0.0,0.16349537037037037,0.0
17,00:00:00.567,0.0360108024691358,0.0,0.10803240740740741,0.0
18,00:00:00.600,0.03763888888888889,0.0,0.11291666666666667,0.0
19,00:00:00.633,0.008186728395061729,0.0,0.024560185185185185,0.0
20,00:00:00.667,0.013765432098765433,0.0,0.041296296296296296,0.0
21,00:00:00.700,0.06418981481481481,0.0,0.19256944444444443,0.0
22,00:00:00.733,0.07969135802469136,0.0,0.23907407407407408,0.0
23,00:00:00.767,0.08556327160493826,0.0,0.2566898148148148,0.0
24,00:00:00.800,0.09046296296296297,0.0,0.2713888888888889,0.0
25,00:00:00.833,0.0928395061728395,0.0,0.2785185185185185,0.0
26,00:00:00.867,0.09668981481481481,0.0,0.29006944444444444,0.0
